Title,Difficulty,NormalType,NormalTier,HardType,HardTier
A,ANOTHER,지력,F,지력,F
A MINSTREL ～ ver.short-scape ～,LEGGENDARIA,지력,B,지력,B
AA,ANOTHER,지력,D,지력,D
AA -rebuild-,ANOTHER,지력,B,지력,B
ABSOLUTE EVIL,ANOTHER,지력,A,지력,A
ACTØ,ANOTHER,지력,D,지력,C
Adularia,ANOTHER,개인차,C,개인차,D
Aftermath,ANOTHER,지력,C,지력,B
AIR RAID FROM THA UNDAGROUND,LEGGENDARIA,개인차,A,개인차,B+
AKASHIC BREAK,ANOTHER,지력,C,지력,C
ALBA -黎明-,LEGGENDARIA,지력,B+,개인차,A
ALBIDA,ANOTHER,지력,D,지력,D
Almagest,ANOTHER,지력,A+,지력,S
ALTERNATOR,ANOTHER,지력,A,지력,A
Always We Trust In You,ANOTHER,지력,C,지력,B
Amazing Mirage,LEGGENDARIA,지력,C,지력,B
Ambivalent Vermilia,ANOTHER,지력,A+,지력,S
Amor∞Fati,ANOTHER,지력,A+,지력,A+
ANCHOR,ANOTHER,지력,B+,지력,A
Ancient Scapes,ANOTHER,지력,C,지력,C
Ancient Scapes,LEGGENDARIA,지력,A+,지력,A+
Angel's Ladder,ANOTHER,지력,B,지력,B
"Anisakis-somatic mutation type ""Forza""-",LEGGENDARIA,지력,A+,지력,A+
Antigravity,ANOTHER,지력,B+,개인차,A
AO-1,ANOTHER,개인차,B,지력,B
Apocalypse,ANOTHER,지력,E,지력,E
Aqvion,ANOTHER,지력,D,지력,D
Arabian Rave Night,LEGGENDARIA,지력,C,지력,B
Arca,ANOTHER,지력,E,지력,E
Arkadia,ANOTHER,지력,B,지력,B+
Artist,ANOTHER,지력,A,지력,A
ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),ANOTHER,지력,B,지력,B+
Astra Blaze,ANOTHER,지력,D,지력,D
B.O.D.Y.,ANOTHER,개인차,C,개인차,C
B4U(BEMANI FOR YOU MIX),LEGGENDARIA,지력,A+,지력,A+
Bad Encryption,ANOTHER,지력,A+,지력,S
Bad Maniacs,ANOTHER,지력,A,지력,A
Be quiet,LEGGENDARIA,개인차,B+,개인차,A+
BEAT PRISONER,ANOTHER,지력,A,지력,A
Beat Radiance,LEGGENDARIA,지력,D,지력,D
Begin,ANOTHER,지력,D,지력,D
Beyond Evolution,ANOTHER,지력,S+,지력,S+
BIGソムタム,ANOTHER,지력,D,지력,E
BIGWAVERS,ANOTHER,지력,B,지력,B
Binary Black Hole,ANOTHER,지력,S,지력,S
BITTER CHOCOLATE STRIKER,ANOTHER,지력,B,지력,B
BLACK or WHITE?,ANOTHER,지력,A,지력,A
BLACK.by X-Cross Fade,ANOTHER,개인차,A+,개인차,S
BLAZING_LAZER,ANOTHER,지력,D,지력,B
BLUE DRAGON(雷龍RemixIIDX),ANOTHER,지력,B,지력,B+
BLUE MIRAGE,ANOTHER,개인차,C,개인차,A
Blue Rain,LEGGENDARIA,지력,A,지력,A
Blue Spring Express,ANOTHER,지력,A+,지력,A+
Boomy and The Boost,ANOTHER,개인차,B+,지력,A
Bow shock!!,LEGGENDARIA,지력,A+,지력,A+
Bring The Fire,ANOTHER,지력,D,지력,D
BroGamer,LEGGENDARIA,개인차,S,지력,S
Broken,ANOTHER,지력,D,지력,D
Broken Sword,ANOTHER,지력,B,지력,B
Burning Flame,LEGGENDARIA,지력,B,지력,B+
CADENZA,ANOTHER,지력,A+,지력,A+
Caldwell 99,LEGGENDARIA,개인차,B,지력,A
Candy Galy,ANOTHER,지력,B,지력,C
CaptivAte～浄化～,LEGGENDARIA,지력,C,지력,C
Carmina,ANOTHER,지력,S,지력,S
Carry Me Away,ANOTHER,지력,E,지력,D
Catch Our Fire!,ANOTHER,지력,D,지력,D
Caterpillar,ANOTHER,개인차,D,개인차,C
Chaotoxin,ANOTHER,지력,C,지력,B
chaplet -IIDX re:build-,ANOTHER,지력,C,지력,C
ChaserXX,LEGGENDARIA,지력,A+,지력,A+
CHRONO DIVER -NORNIR-,LEGGENDARIA,지력,A+,지력,A+
Chrono Diver -PENDULUMs-,ANOTHER,지력,S,지력,S+
cinder,ANOTHER,지력,B,지력,B
Close the World feat.a☆ru,ANOTHER,지력,B,지력,B
Close the World feat.a☆ru,LEGGENDARIA,지력,A,지력,A
CODE:Ø,LEGGENDARIA,지력,A+,개인차,A+
CODE:1 [revision1.0.1],ANOTHER,지력,B,지력,B
Colorful Cookie,ANOTHER,지력,B,지력,B
Colors(radio edit),ANOTHER,지력,E,지력,C
CoMAAAAAAA,LEGGENDARIA,개인차,A+,지력,A+
Concertino in Blue,ANOTHER,지력,E,지력,D
Confiserie,ANOTHER,지력,S,지력,S
CONTRACT,LEGGENDARIA,지력,A+,지력,A+
Cosmic Cat,LEGGENDARIA,지력,C,지력,B
COSMIC RAY,ANOTHER,지력,A,지력,A
COSMIC V3LOCITY,ANOTHER,지력,C,지력,C
Cross Fire,ANOTHER,지력,A,지력,A
CUE CUE RESCUE,LEGGENDARIA,지력,F,지력,F
Cult Invitation,ANOTHER,개인차,A,개인차,A+
Dahlia,ANOTHER,지력,D,지력,B
Dances with Snow Fairies,ANOTHER,지력,B+,지력,B
Dances with Snow Fairies,LEGGENDARIA,지력,S,지력,S
Dans la nuit de l'éternité,ANOTHER,지력,A+,지력,S
DARK LEGACY,ANOTHER,지력,C,지력,B
dAuntl3ss,ANOTHER,지력,C,지력,D
DAY DREAM,ANOTHER,지력,C,개인차,A
DEADHEAT,ANOTHER,지력,B+,지력,B+
DEATH†ZIGOQ～怒りの高速爆走野郎～,ANOTHER,지력,A,지력,A+
DEATH†ZIGOQ～怒りの高速爆走野郎～,LEGGENDARIA,지력,S+,지력,S+
Demon March,ANOTHER,지력,A,지력,A
Despair of ELFERIA,ANOTHER,지력,A,지력,A
destination,ANOTHER,지력,B,지력,C
Devil's Gear,ANOTHER,지력,A,지력,A
Devilz Staircase,ANOTHER,지력,B,지력,B+
DIAMOND CROSSING,ANOTHER,개인차,B+,개인차,A+
DIAVOLO,ANOTHER,개인차,S+,개인차,S+
dica dica,ANOTHER,개인차,D,개인차,C
Disco Killer Music Lover,ANOTHER,지력,D,지력,C
DIVINE JUDGEMENT,ANOTHER,지력,C,지력,C
Do it!! Do it!!,LEGGENDARIA,지력,S+,지력,S
DOMINION,ANOTHER,지력,C,지력,B
Don't believe the hype,ANOTHER,개인차,A,개인차,A+
DORNWALD ～Junge～,ANOTHER,지력,A,지력,A
Double Dribble,ANOTHER,지력,D,지력,D
Dr. Chemical & Killing Machine,ANOTHER,지력,C,지력,C
Drastic Dramatic,ANOTHER,지력,D,지력,D
Drop Syndicate,ANOTHER,지력,B+,지력,B+
DropZ-Line-,ANOTHER,지력,B,지력,B+
DRUNK MONKY,ANOTHER,지력,D,지력,D
DUAL STRIKER,ANOTHER,지력,B,지력,B+
DUE TOMORROW,ANOTHER,개인차,E,개인차,C
Dynamite,ANOTHER,지력,A,개인차,A+
EBONY & IVORY,ANOTHER,지력,C,지력,B
EBONY & IVORY,LEGGENDARIA,지력,A+,지력,S
ECHIDNA,ANOTHER,개인차,A+,개인차,S
Elektrick U-Phoria,LEGGENDARIA,지력,A,지력,A+
Elemental Creation,ANOTHER,지력,S,지력,S
Ember Lights,LEGGENDARIA,개인차,C,개인차,B
EMERALDAS,ANOTHER,지력,S,지력,S
Empire of Fury,ANOTHER,지력,B+,지력,A
encounter,ANOTHER,지력,E,지력,E
entelecheia,ANOTHER,지력,B,지력,C
eRAseRmOToRpHAntOM,ANOTHER,개인차,D,개인차,C
EROICA,ANOTHER,개인차,S,지력,S+
EVANESCENT,ANOTHER,지력,D,지력,D
Evans,ANOTHER,지력,C,지력,C
Everlasting Message,ANOTHER,지력,S,지력,S
EX-MASSIVE FIGHTER,ANOTHER,지력,C,지력,C
EXUSIA,ANOTHER,지력,A,지력,B+
EYE OF THE HEAVEN,ANOTHER,지력,C,지력,C
F,ANOTHER,지력,E,지력,E
