Version,Title,MatchTitle,Difficulty,NormalType,NormalTier,HardType,HardTier,RankTier
7,A,,ANOTHER,지력,F,지력,F,
32,A MINSTREL ～ ver. short-scape ～,,LEGGENDARIA,지력,B,지력,B,
11,AA,,ANOTHER,지력,D,지력,D,
25,AA -rebuild-,,ANOTHER,지력,B,지력,B,
29,ABSOLUTE EVIL,,ANOTHER,지력,A,지력,A,
31,ACTØ,ACT0,ANOTHER,지력,D,지력,C,
21,Adularia,,ANOTHER,개인차,C,개인차,D,
29,Aftermath,,ANOTHER,지력,C,지력,B,
26,AIR RAID FROM THA UNDAGROUND,,LEGGENDARIA,개인차,A,개인차,B+,
27,AKASHIC BREAK,,ANOTHER,지력,C,지력,C,
32,ALBA -黎明-,,LEGGENDARIA,지력,B+,개인차,A,
18,ALBIDA,,ANOTHER,지력,D,지력,D,
17,Almagest,,ANOTHER,지력,A+,지력,S,5
29,ALTERNATOR,,ANOTHER,지력,A,지력,A,
30,Always We Trust In You,,ANOTHER,지력,C,지력,B,2
25,Amazing Mirage,,LEGGENDARIA,지력,C,지력,B,2
31,Ambivalent Vermilia,,ANOTHER,지력,A+,지력,S,
33,Amor∞Fati,,ANOTHER,지력,A+,지력,A+,
25,ANCHOR,,ANOTHER,지력,B+,지력,A,
21,Ancient Scapes,,ANOTHER,지력,C,지력,C,
21,Ancient Scapes,,LEGGENDARIA,지력,A+,지력,A+,
29,Angel's Ladder,,ANOTHER,지력,B,지력,B,
28,Anisakis -somatic mutation type ”Forza”-,Anisakis -somatic mutation type"Forza"-,LEGGENDARIA,지력,A+,지력,A+,
25,Antigravity,,ANOTHER,지력,B+,개인차,A,
33,Any％,,ANOTHER,,,,,
23,AO-1,,ANOTHER,개인차,B,지력,B,
24,Apocalypse,,ANOTHER,지력,E,지력,E,
32,Aqvion,,ANOTHER,지력,D,지력,D,
28,Arabian Rave Night,,LEGGENDARIA,지력,C,지력,B,
25,Arca,,ANOTHER,지력,E,지력,E,
29,Arkadia,,ANOTHER,지력,B,지력,B+,
27,Artist,,ANOTHER,지력,A,지력,A,
28,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),,ANOTHER,지력,B,지력,B+,
33,Astra Blaze,,ANOTHER,지력,D,지력,D,
30,B.O.D.Y.,,ANOTHER,개인차,C,개인차,C,1
26,B4U(BEMANI FOR YOU MIX),,LEGGENDARIA,지력,A+,지력,A+,
30,Bad Encryption,,ANOTHER,지력,A+,지력,S,
17,Bad Maniacs,,ANOTHER,지력,A,지력,A,
28,Be quiet,,LEGGENDARIA,개인차,B+,개인차,A+,
27,BEAT PRISONER,,ANOTHER,지력,A,지력,A,
22,Beat Radiance,,LEGGENDARIA,지력,D,지력,D,
33,Begin,,ANOTHER,지력,D,지력,D,
30,Beyond Evolution,,ANOTHER,지력,S+,지력,S+,7
28,BIGソムタム,,ANOTHER,지력,E,지력,E,
30,BIGWAVERS,,ANOTHER,지력,B,지력,B,
29,Binary Black Hole,,ANOTHER,지력,S,지력,S,
33,BitRacer,,ANOTHER,지력,B+,지력,A,
16,BITTER CHOCOLATE STRIKER,,ANOTHER,지력,B,지력,B,
28,BLACK or WHITE?,,ANOTHER,지력,A,지력,A,4
19,BLACK.by X-Cross Fade,,ANOTHER,개인차,A+,개인차,S,
31,BLAZING_LAZER,,ANOTHER,지력,D,지력,B,2
21,BLUE DRAGON(雷龍RemixIIDX),,ANOTHER,지력,B,지력,B+,
22,BLUE MIRAGE,,ANOTHER,개인차,C,개인차,A,
25,Blue Rain,,LEGGENDARIA,지력,A,지력,A,
23,Blue Spring Express,,ANOTHER,지력,A+,지력,A+,
25,Boomy and The Boost,,ANOTHER,개인차,B+,지력,A,
32,Bow shock!!,,LEGGENDARIA,지력,A+,지력,A+,
32,Bring The Fire,,ANOTHER,지력,D,지력,D,
29,BroGamer,,LEGGENDARIA,개인차,S,지력,S,5
18,Broken,,ANOTHER,지력,D,지력,D,
22,Broken Sword,,ANOTHER,지력,B,지력,B,2
30,Burning Flame,,LEGGENDARIA,지력,B,지력,B+,
31,CADENZA,,ANOTHER,지력,A+,지력,A+,4
32,Caldwell 99,,LEGGENDARIA,개인차,B,지력,A,
14,Candy Galy,,ANOTHER,지력,B,지력,C,
32,CaptivAte～浄化～,,LEGGENDARIA,지력,C,지력,C,
26,Carmina,,ANOTHER,지력,S,지력,S,
26,Carry Me Away,,ANOTHER,지력,E,지력,D,
26,Catch Our Fire!,,ANOTHER,지력,D,지력,D,
24,Caterpillar,,ANOTHER,개인차,D,개인차,C,
30,Chaotoxin,,ANOTHER,지력,C,지력,B,2
33,chaplet -IIDX re:build-,,ANOTHER,지력,C,지력,C,
32,ChaserXX,,LEGGENDARIA,지력,A+,지력,A+,
22,CHRONO DIVER -NORNIR-,,LEGGENDARIA,지력,A+,지력,A+,
